fips,state_alpha,county_name,asd_code,asd_desc,year,practice,yield_bu_acre
19001,IA,Adair,70,SOUTHWEST,2000,all,131.8
19001,IA,Adair,70,SOUTHWEST,2001,all,127.3
19001,IA,Adair,70,SOUTHWEST,2002,all,154.3
19001,IA,Adair,70,SOUTHWEST,2003,all,131.3
19001,IA,Adair,70,SOUTHWEST,2004,all,182.1
19001,IA,Adair,70,SOUTHWEST,2005,all,159.0
19001,IA,Adair,70,SOUTHWEST,2006,all,164.9
19001,IA,Adair,70,SOUTHWEST,2007,all,160.7
19001,IA,Adair,70,SOUTHWEST,2008,all,169.0
19001,IA,Adair,70,SOUTHWEST,2009,all,179.3
19001,IA,Adair,70,SOUTHWEST,2010,all,139.1
19001,IA,Adair,70,SOUTHWEST,2011,all,152.8
19001,IA,Adair,70,SOUTHWEST,2012,all,104.4
19001,IA,Adair,70,SOUTHWEST,2013,all,137.8
19001,IA,Adair,70,SOUTHWEST,2014,all,169.3
19001,IA,Adair,70,SOUTHWEST,2015,all,176.5
19001,IA,Adair,70,SOUTHWEST,2016,all,190.3
19001,IA,Adair,70,SOUTHWEST,2017,all,175.2
19001,IA,Adair,70,SOUTHWEST,2018,all,149.5
19001,IA,Adair,70,SOUTHWEST,2019,all,176.5
19001,IA,Adair,70,SOUTHWEST,2020,all,168.7
19001,IA,Adair,70,SOUTHWEST,2022,all,164.2
19001,IA,Adair,70,SOUTHWEST,2024,all,211.2
19001,IA,Adair,70,SOUTHWEST,2025,all,187.0
19003,IA,Adams,70,SOUTHWEST,2000,all,140.0
19003,IA,Adams,70,SOUTHWEST,2001,all,120.3
19003,IA,Adams,70,SOUTHWEST,2002,all,132.3
19003,IA,Adams,70,SOUTHWEST,2003,all,122.2
19003,IA,Adams,70,SOUTHWEST,2004,all,169.3
19003,IA,Adams,70,SOUTHWEST,2005,all,157.1
19003,IA,Adams,70,SOUTHWEST,2006,all,145.4
19003,IA,Adams,70,SOUTHWEST,2007,all,153.4
19003,IA,Adams,70,SOUTHWEST,2008,all,156.0
19003,IA,Adams,70,SOUTHWEST,2009,all,168.1
19003,IA,Adams,70,SOUTHWEST,2010,all,139.3
19003,IA,Adams,70,SOUTHWEST,2011,all,151.7
19003,IA,Adams,70,SOUTHWEST,2012,all,109.8
19003,IA,Adams,70,SOUTHWEST,2013,all,147.6
19003,IA,Adams,70,SOUTHWEST,2014,all,169.9
19003,IA,Adams,70,SOUTHWEST,2015,all,169.6
19003,IA,Adams,70,SOUTHWEST,2016,all,187.4
19003,IA,Adams,70,SOUTHWEST,2017,all,179.9
19003,IA,Adams,70,SOUTHWEST,2018,all,171.6
19003,IA,Adams,70,SOUTHWEST,2020,all,173.3
19005,IA,Allamakee,30,NORTHEAST,2000,all,146.6
19005,IA,Allamakee,30,NORTHEAST,2001,all,150.3
19005,IA,Allamakee,30,NORTHEAST,2002,all,158.7
19005,IA,Allamakee,30,NORTHEAST,2003,all,142.7
19005,IA,Allamakee,30,NORTHEAST,2004,all,163.3
19005,IA,Allamakee,30,NORTHEAST,2005,all,177.4
19005,IA,Allamakee,30,NORTHEAST,2006,all,166.2
19005,IA,Allamakee,30,NORTHEAST,2007,all,167.1
19005,IA,Allamakee,30,NORTHEAST,2008,all,170.0
19005,IA,Allamakee,30,NORTHEAST,2009,all,179.6
19005,IA,Allamakee,30,NORTHEAST,2010,all,175.8
19005,IA,Allamakee,30,NORTHEAST,2011,all,173.3
19005,IA,Allamakee,30,NORTHEAST,2012,all,153.6
19005,IA,Allamakee,30,NORTHEAST,2013,all,162.1
19005,IA,Allamakee,30,NORTHEAST,2014,all,175.6
19005,IA,Allamakee,30,NORTHEAST,2015,all,175.4
19005,IA,Allamakee,30,NORTHEAST,2016,all,205.1
19005,IA,Allamakee,30,NORTHEAST,2017,all,190.5
19005,IA,Allamakee,30,NORTHEAST,2018,all,198.4
19005,IA,Allamakee,30,NORTHEAST,2019,all,187.2
19005,IA,Allamakee,30,NORTHEAST,2020,all,196.3
19005,IA,Allamakee,30,NORTHEAST,2021,all,198.5
19005,IA,Allamakee,30,NORTHEAST,2022,all,215.9
19005,IA,Allamakee,30,NORTHEAST,2023,all,183.9
19005,IA,Allamakee,30,NORTHEAST,2024,all,216.3
19005,IA,Allamakee,30,NORTHEAST,2025,all,211.1
19007,IA,Appanoose,80,SOUTH CENTRAL,2000,all,147.7
19007,IA,Appanoose,80,SOUTH CENTRAL,2001,all,110.1
19007,IA,Appanoose,80,SOUTH CENTRAL,2002,all,129.4
19007,IA,Appanoose,80,SOUTH CENTRAL,2003,all,125.7
19007,IA,Appanoose,80,SOUTH CENTRAL,2004,all,171.9
19007,IA,Appanoose,80,SOUTH CENTRAL,2005,all,150.0
19007,IA,Appanoose,80,SOUTH CENTRAL,2006,all,157.7
19007,IA,Appanoose,80,SOUTH CENTRAL,2007,all,152.0
19007,IA,Appanoose,80,SOUTH CENTRAL,2008,all,118.0
19007,IA,Appanoose,80,SOUTH CENTRAL,2009,all,153.0
19007,IA,Appanoose,80,SOUTH CENTRAL,2010,all,75.2
19007,IA,Appanoose,80,SOUTH CENTRAL,2011,all,120.1
19007,IA,Appanoose,80,SOUTH CENTRAL,2012,all,44.5
19007,IA,Appanoose,80,SOUTH CENTRAL,2013,all,109.1
19007,IA,Appanoose,80,SOUTH CENTRAL,2014,all,170.9
19007,IA,Appanoose,80,SOUTH CENTRAL,2015,all,154.3
19007,IA,Appanoose,80,SOUTH CENTRAL,2016,all,186.3
19007,IA,Appanoose,80,SOUTH CENTRAL,2017,all,170.0
19007,IA,Appanoose,80,SOUTH CENTRAL,2019,all,166.8
19007,IA,Appanoose,80,SOUTH CENTRAL,2020,all,143.6
19007,IA,Appanoose,80,SOUTH CENTRAL,2021,all,171.6
19007,IA,Appanoose,80,SOUTH CENTRAL,2022,all,146.1
19007,IA,Appanoose,80,SOUTH CENTRAL,2023,all,172.8
19009,IA,Audubon,40,WEST CENTRAL,2000,all,136.2
19009,IA,Audubon,40,WEST CENTRAL,2001,all,129.1
19009,IA,Audubon,40,WEST CENTRAL,2002,all,151.5
