fips,state_alpha,county_name,asd_code,asd_desc,year,practice,yield_bu_acre
31001,NE,Adams,80,SOUTH,2000,all,146.5
31001,NE,Adams,80,SOUTH,2000,irrigated,161.0
31001,NE,Adams,80,SOUTH,2000,non_irrigated,73.0
31001,NE,Adams,80,SOUTH,2001,all,170.2
31001,NE,Adams,80,SOUTH,2001,irrigated,185.0
31001,NE,Adams,80,SOUTH,2001,non_irrigated,94.0
31001,NE,Adams,80,SOUTH,2002,all,159.5
31001,NE,Adams,80,SOUTH,2002,irrigated,175.0
31001,NE,Adams,80,SOUTH,2002,non_irrigated,27.0
31001,NE,Adams,80,SOUTH,2003,all,171.6
31001,NE,Adams,80,SOUTH,2003,irrigated,191.0
31001,NE,Adams,80,SOUTH,2003,non_irrigated,40.0
31001,NE,Adams,80,SOUTH,2004,all,180.3
31001,NE,Adams,80,SOUTH,2004,irrigated,194.0
31001,NE,Adams,80,SOUTH,2004,non_irrigated,86.0
31001,NE,Adams,80,SOUTH,2005,all,174.5
31001,NE,Adams,80,SOUTH,2005,irrigated,189.0
31001,NE,Adams,80,SOUTH,2005,non_irrigated,99.0
31001,NE,Adams,80,SOUTH,2006,all,169.9
31001,NE,Adams,80,SOUTH,2006,irrigated,182.0
31001,NE,Adams,80,SOUTH,2006,non_irrigated,96.0
31001,NE,Adams,80,SOUTH,2007,all,177.7
31001,NE,Adams,80,SOUTH,2007,irrigated,186.0
31001,NE,Adams,80,SOUTH,2007,non_irrigated,120.0
31001,NE,Adams,80,SOUTH,2008,all,181.0
31001,NE,Adams,80,SOUTH,2008,irrigated,190.0
31001,NE,Adams,80,SOUTH,2008,non_irrigated,125.0
31001,NE,Adams,80,SOUTH,2009,all,190.3
31001,NE,Adams,80,SOUTH,2009,irrigated,204.1
31001,NE,Adams,80,SOUTH,2009,non_irrigated,112.6
31001,NE,Adams,80,SOUTH,2010,all,186.0
31001,NE,Adams,80,SOUTH,2010,irrigated,194.4
31001,NE,Adams,80,SOUTH,2010,non_irrigated,133.6
31001,NE,Adams,80,SOUTH,2011,all,195.1
31001,NE,Adams,80,SOUTH,2011,irrigated,205.0
31001,NE,Adams,80,SOUTH,2011,non_irrigated,140.7
31001,NE,Adams,80,SOUTH,2012,all,185.8
31001,NE,Adams,80,SOUTH,2012,irrigated,206.5
31001,NE,Adams,80,SOUTH,2012,non_irrigated,51.2
31001,NE,Adams,80,SOUTH,2013,all,184.5
31001,NE,Adams,80,SOUTH,2013,irrigated,197.8
31001,NE,Adams,80,SOUTH,2013,non_irrigated,97.7
31001,NE,Adams,80,SOUTH,2014,all,183.3
31001,NE,Adams,80,SOUTH,2014,irrigated,192.9
31001,NE,Adams,80,SOUTH,2014,non_irrigated,111.4
31001,NE,Adams,80,SOUTH,2015,all,208.8
31001,NE,Adams,80,SOUTH,2015,irrigated,220.5
31001,NE,Adams,80,SOUTH,2015,non_irrigated,128.7
31001,NE,Adams,80,SOUTH,2016,all,186.6
31001,NE,Adams,80,SOUTH,2016,irrigated,195.3
31001,NE,Adams,80,SOUTH,2016,non_irrigated,121.7
31001,NE,Adams,80,SOUTH,2017,all,199.7
31001,NE,Adams,80,SOUTH,2017,irrigated,207.2
31001,NE,Adams,80,SOUTH,2017,non_irrigated,147.5
31001,NE,Adams,80,SOUTH,2018,all,215.4
31001,NE,Adams,80,SOUTH,2018,irrigated,224.7
31001,NE,Adams,80,SOUTH,2018,non_irrigated,159.2
31001,NE,Adams,80,SOUTH,2019,all,195.9
31001,NE,Adams,80,SOUTH,2020,all,199.6
31001,NE,Adams,80,SOUTH,2021,all,228.7
31001,NE,Adams,80,SOUTH,2022,all,199.7
31001,NE,Adams,80,SOUTH,2023,all,204.5
31001,NE,Adams,80,SOUTH,2024,all,219.4
31003,NE,Antelope,30,NORTHEAST,2000,all,127.5
31003,NE,Antelope,30,NORTHEAST,2000,irrigated,159.0
31003,NE,Antelope,30,NORTHEAST,2000,non_irrigated,54.0
31003,NE,Antelope,30,NORTHEAST,2001,all,145.4
31003,NE,Antelope,30,NORTHEAST,2001,irrigated,165.0
31003,NE,Antelope,30,NORTHEAST,2001,non_irrigated,102.0
31003,NE,Antelope,30,NORTHEAST,2002,all,140.0
31003,NE,Antelope,30,NORTHEAST,2002,irrigated,175.0
31003,NE,Antelope,30,NORTHEAST,2002,non_irrigated,49.0
31003,NE,Antelope,30,NORTHEAST,2003,all,163.7
31003,NE,Antelope,30,NORTHEAST,2003,irrigated,196.0
31003,NE,Antelope,30,NORTHEAST,2003,non_irrigated,78.0
31003,NE,Antelope,30,NORTHEAST,2004,all,169.1
31003,NE,Antelope,30,NORTHEAST,2004,irrigated,195.0
31003,NE,Antelope,30,NORTHEAST,2004,non_irrigated,98.0
31003,NE,Antelope,30,NORTHEAST,2005,all,164.1
31003,NE,Antelope,30,NORTHEAST,2005,irrigated,191.0
31003,NE,Antelope,30,NORTHEAST,2005,non_irrigated,83.0
31003,NE,Antelope,30,NORTHEAST,2006,all,174.7
31003,NE,Antelope,30,NORTHEAST,2006,irrigated,200.0
31003,NE,Antelope,30,NORTHEAST,2006,non_irrigated,73.0
31003,NE,Antelope,30,NORTHEAST,2007,all,169.7
31003,NE,Antelope,30,NORTHEAST,2007,irrigated,187.0
31003,NE,Antelope,30,NORTHEAST,2007,non_irrigated,98.0
31003,NE,Antelope,30,NORTHEAST,2008,all,176.0
31003,NE,Antelope,30,NORTHEAST,2008,irrigated,193.0
31003,NE,Antelope,30,NORTHEAST,2008,non_irrigated,101.0
31003,NE,Antelope,30,NORTHEAST,2009,all,194.9
31003,NE,Antelope,30,NORTHEAST,2009,irrigated,210.4
31003,NE,Antelope,30,NORTHEAST,2009,non_irrigated,127.7
31003,NE,Antelope,30,NORTHEAST,2010,all,180.5
31003,NE,Antelope,30,NORTHEAST,2010,irrigated,194.0
31003,NE,Antelope,30,NORTHEAST,2010,non_irrigated,123.0
31003,NE,Antelope,30,NORTHEAST,2011,all,174.6
31003,NE,Antelope,30,NORTHEAST,2011,irrigated,190.3
31003,NE,Antelope,30,NORTHEAST,2011,non_irrigated,104.1
31003,NE,Antelope,30,NORTHEAST,2012,all,174.9
31003,NE,Antelope,30,NORTHEAST,2012,irrigated,196.4
31003,NE,Antelope,30,NORTHEAST,2012,non_irrigated,38.3
31003,NE,Antelope,30,NORTHEAST,2013,all,186.1
31003,NE,Antelope,30,NORTHEAST,2013,irrigated,202.9
31003,NE,Antelope,30,NORTHEAST,2013,non_irrigated,100.5
31003,NE,Antelope,30,NORTHEAST,2014,all,185.9
31003,NE,Antelope,30,NORTHEAST,2014,irrigated,197.1
31003,NE,Antelope,30,NORTHEAST,2014,non_irrigated,132.1
31003,NE,Antelope,30,NORTHEAST,2015,all,198.6
31003,NE,Antelope,30,NORTHEAST,2015,irrigated,207.7
31003,NE,Antelope,30,NORTHEAST,2015,non_irrigated,153.1
31003,NE,Antelope,30,NORTHEAST,2016,all,203.0
31003,NE,Antelope,30,NORTHEAST,2016,irrigated,214.4
31003,NE,Antelope,30,NORTHEAST,2016,non_irrigated,144.1
31003,NE,Antelope,30,NORTHEAST,2017,all,208.7
31003,NE,Antelope,30,NORTHEAST,2017,irrigated,223.5
31003,NE,Antelope,30,NORTHEAST,2017,non_irrigated,133.9
31003,NE,Antelope,30,NORTHEAST,2018,all,205.7
31003,NE,Antelope,30,NORTHEAST,2018,irrigated,214.6
31003,NE,Antelope,30,NORTHEAST,2018,non_irrigated,158.4
31003,NE,Antelope,30,NORTHEAST,2019,all,210.1
31005,NE,Arthur,20,NORTH,2000,all,123.3
31005,NE,Arthur,20,NORTH,2000,irrigated,130.0
31005,NE,Arthur,20,NORTH,2001,all,124.4
31005,NE,Arthur,20,NORTH,2001,irrigated,135.0
31005,NE,Arthur,20,NORTH,2002,all,132.0
31005,NE,Arthur,20,NORTH,2002,irrigated,132.0
31005,NE,Arthur,20,NORTH,2003,all,150.0
31005,NE,Arthur,20,NORTH,2003,irrigated,150.0
31005,NE,Arthur,20,NORTH,2004,all,130.0
31005,NE,Arthur,20,NORTH,2004,irrigated,130.0
31005,NE,Arthur,20,NORTH,2005,all,160.0
31005,NE,Arthur,20,NORTH,2005,irrigated,160.0
31005,NE,Arthur,20,NORTH,2006,all,174.0
31005,NE,Arthur,20,NORTH,2006,irrigated,174.0
31005,NE,Arthur,20,NORTH,2007,all,165.0
31005,NE,Arthur,20,NORTH,2007,irrigated,165.0
31007,NE,Banner,10,NORTHWEST,2000,all,69.0
31007,NE,Banner,10,NORTHWEST,2000,irrigated,125.0
31007,NE,Banner,10,NORTHWEST,2000,non_irrigated,28.0
31007,NE,Banner,10,NORTHWEST,2001,all,94.9
31007,NE,Banner,10,NORTHWEST,2001,irrigated,143.0
31007,NE,Banner,10,NORTHWEST,2001,non_irrigated,43.0
31007,NE,Banner,10,NORTHWEST,2002,all,82.1
31007,NE,Banner,10,NORTHWEST,2002,irrigated,127.0
31007,NE,Banner,10,NORTHWEST,2002,non_irrigated,13.0
31007,NE,Banner,10,NORTHWEST,2003,all,86.4
31007,NE,Banner,10,NORTHWEST,2003,irrigated,142.0
31007,NE,Banner,10,NORTHWEST,2003,non_irrigated,42.0
31007,NE,Banner,10,NORTHWEST,2004,all,115.3
31007,NE,Banner,10,NORTHWEST,2004,irrigated,160.0
31007,NE,Banner,10,NORTHWEST,2004,non_irrigated,50.0
